,total_co2,total_co2,total_weight,total_weight
,mean,std,mean,count
recipe_name,,,,
Poached Chicken for Tacos,4026.96,,408.0,1
Chicken Broth,20374.395391327776,9813.031779986824,92.73618215555555,2
Fig & Balsamic Chicken,6575.985636359112,,879.6222222222223,1
Basic Roast Chicken,27074.433029888816,,2852.3082898507128,1
Ultimate Roast Chicken,13597.74614581046,,1409.71026665,1
Chicken & peppers,7037.274999999999,,947.5,1
Chicken Tamales,37443.976995840014,,4720.335568143716,1
Chicken biryani,13839.241986788827,9610.953544226244,2017.9546244280996,2
Roast Chicken With Chicken Livers,19270.30892909948,,2082.162893162682,1
Chicken Carbonara,6559.7210706217,1528.3659571529258,1246.39523125,2
Chicken Parmigiana recipes,11171.300428697186,,1323.4086145412498,1
Chicken Piccata,10715.275707707413,4266.633619190763,1325.5837457694008,13
Chicken Tacos,8470.878161096247,3813.4304070556855,1236.9319524994746,4
Homemade Essence of Chicken,11844.403020833844,,1279.6231621676309,1
Chicken Fricassee,16584.973438577985,,2760.732988316931,1
Lemon & Caper Chicken,3668.056893774179,,518.88,1
Chicken paprika,26292.17442504346,,3120.339678743084,1
Chicken Liver Pâté,12723.32849177883,,1403.009015923215,1
Chicken Kiev,7011.499840218657,,766.254375000037,1
Quinoa-Crusted Chicken,10786.19602385328,,1333.58806670621,1
Chicken Piccata Hilary,31948.113130436,,3617.8,1
Braised Chicken Gumbo,8105.132971183363,,1148.251388888625,1
Chicken Marengo,27323.625339006,,3524.395,1
Chicken Pie,47943.29921483468,,5242.846298582961,1
Firecracker Chicken,10804.173124995988,,1169.6874999989654,1
Chicken soup,19528.04272204377,,2217.1683562940693,1
Chicken Teriyaki,3847.24520157,,515.6,1
Chicken Potpies,9986.700093223651,,1308.5737574474729,1
Chicken & sweetcorn ramen,15053.792186674573,,809.7674813899639,1
Barbecued Chicken,37415.700620375,,4649.3217925,1
Roast Chicken Breasts With Chicken Gravy,9993.759097270336,,1074.9499999997358,1
Lemon Chicken,7491.477824980611,2512.884338279125,1068.2869924531578,4
Chicken Satay,14935.981279599951,5162.034409867545,1732.871101085953,2
Chicken Quinoa,8502.880949449474,,1821.4392,1
Braised Chicken Sausages,14022.591722122,,1587.93474,1
Chicken Paillard,9709.246310553424,5695.146733079007,1156.5935784478395,2
Crispy Chicken Dippers,14598.547702590624,,3027.3533021875,1
Southwestern Chicken Soup,14458.425485548036,,2050.314902152778,1
Chicken Risotto,12604.968911418026,,1641.4473179176148,1
Easy Chicken Posole,12159.898239284608,,1608.9996853422997,1
Chicken With Jerk Marinade,7565.846454169648,,771.774006186507,1
Easy Chicken Soup,12741.23,,1433.8,1
Chicken Liver Paté,6966.438274811713,,1082.1139999998406,1
Stuffed Chicken Caprese,27513.33133780036,,2484.993891074528,1
Chicken Roulades,25142.0460934059,,2763.349999999742,1
Peanut-Roasted Chicken,18707.990209238957,,2052.863873844123,1
Un-Fried Chicken,18357.26800023659,,2551.90882775,1
Twistin’ Chicken,7741.53045127018,,938.9479444524842,1
Pulled Chicken,6134.126558069936,,890.3041666607612,1
Chicken Cacciatore,16038.036678755103,1547.3026859643294,3008.742583160889,3
Chicken Francese,10207.838863191608,4038.55795473526,2114.2560449163457,2
Delicate Chicken Soup,35728.54159233212,,4651.33877739047,1
Greek Chicken,5956.9934330001015,,649.724838669383,1
Chicken Mole,29040.195667836902,11844.41738124707,2997.6102481767825,2
Quick Teriyaki Chicken,3669.19745453751,,459.499999999508,1
Champagne-Can Chicken,17662.3063783338,,2016.1385231430615,1
Lemon Chicken Soup,18321.009883978542,,2726.077574895834,1
Chicken and Dumplings,18678.822851178134,1741.808461442572,2858.5647628989973,2
Chicken Roulade,6573.038855273074,,783.9346486003434,1
Chicken Gnocchi Soup,24565.69029204275,,2640.494670452499,1
Cornbread Chicken Bake,16784.20263961577,,2873.8052096877705,1
Circassian Chicken,14743.035606846748,631.4994477976003,1882.272980566468,2
Chicken Parmesan Dumplings,6649.29680842875,,917.059375,1
Pan-Fried Chicken,10492.5773880936,2184.5199423529316,1223.7654625,2
Chicken and mushrooms,8517.966040660956,,1373.3803417961972,1
Provencal Chicken,7493.912389042149,,1255.4646300671875,1
Meal-Prep Curried Chicken & Chili-Lime Chicken,13807.460656382314,,1305.6981396976546,1
Chicken Stock,13587.720455270692,,67.1118176532,1
Chicken Tinga,12877.964835029332,,2386.7640825000817,1
Kickin' Chicken,1532.77812499886,,180.93749999975591,1
Chicken Saltimbocca,11435.707683396035,4536.884936193792,1266.1859032769119,4
Chicken Saltimboca,11364.505846701037,,1393.0231033507328,1
Chicken Souffle,13950.723592380687,,2415.3321226837656,1
Roast Chicken and Vegetable Soup,4973.000576759999,,591.5694,1
Chicken Marsala,11991.371033070141,6321.3035814714485,1578.7722167155532,7
Buttermilk Brined Chicken,16879.67041422854,,2060.0796827113404,1
Garlic Chicken,14022.30651698228,,1635.4809250002645,1
Drunken Chicken Recipe,6640.7780231424,,922.5843686185568,1
Roast Chicken,14352.927595787543,1368.9539223287518,1447.0171775132667,4
Chicken Tetrazzini,32905.15403900133,,4378.091005224175,1
Chicken Biryani,20618.2136143893,,2599.236439528173,1
Sticky chicken,10532.311801739728,,1127.1041666666592,1
Lemon Pepper Chicken,6682.284397856755,,882.8979854111102,1
Chicken Chili,18824.56233354294,,5022.728619216345,1
Sticky barbecue chicken,10094.27409823252,,1223.0801027806767,1
Chicken & chorizo traybake,15164.473186811998,,2583.0,1
Classic Chicken Soup,19836.076498082773,,2380.538881700715,1
Fried Chicken,13691.031390518201,227.36249649742146,1912.0732900249707,2
Chicken Tetrazzini Recipe,21594.62830201337,,2882.6833466665043,1
Marmalade Chicken,7281.46308970749,,960.784036666802,1
Rosemary Fried Chicken recipes,32988.98336501,,4453.346004103186,1
Chicken Thighs Confit,17799.941477923556,,2326.515767886598,1
Chicken ‘paella’,19132.298955126065,,2723.661382883058,1
Citrus Chicken and Rice,10109.859764874998,,1397.3904625,1
Spinach Artichoke Chicken,5173.00565183935,,868.1480112492055,1
Classic Baked Chicken,16034.28070721564,,1740.985622538713,1
Chicken in Gravy,6827.874069955764,,1076.9740402609325,1
Chicken and Tortellini Stew,21941.150022710783,,2356.678181030865,1
Asian Grilled Chicken,15042.841404039198,,1562.425,1
Chicken Scarpariello,13119.668847261491,83.78338819946163,1941.4538262783894,2
Chicken Marsala III,8452.35632395412,,1228.1395966663194,1
Balsamic Chicken,4619.096871162,,499.86737,1
Cardamom Honey Chicken,16646.38560696709,,1875.649573874631,1
Rosemary Chicken,8121.700833156836,,1206.871027905865,1
"Chicken ""Stoup""",95477.3542876195,,2264.2991516191,1
Chicken Cordon Bleu,8390.52593443233,,936.7769999861716,1
Chicken Posole,16096.10370371238,,2821.18331273823,1
Chicken pie,9618.88212135275,,1118.8236191846756,1
Apricot Glazed Chicken,5854.449734913108,,912.9904625,1
Chicken Hotpot,10750.532516958345,,1657.7693606948128,1
Halfsies Chicken,9310.4573838,,1016.7737966396268,1
Chicken Tortellini Soup,18854.30475921475,,1925.1400898028853,1
Chicken Couscous Salad,8847.680378784,,1730.25,1
Chicken Mushroom Marsala,11969.730676468924,,1388.196609648369,1
Mango Chicken With Couscous,6995.138584364094,,944.251271806532,1
Chicken Fried Rice,8530.523169442065,,1333.1316666661153,1
Chicken Fingers,2099.519229706,,260.2785,1
Belgian Chicken Waterzooi,28105.996333332903,,2998.366666666396,1
Candy Chicken,14775.908154506662,,1454.5723610927837,1
Chicken and Peaches,15497.260190126126,,2392.0501637889824,1
Speedy Chicken Enchiladas,30886.885,,2811.5,1
Teriyaki Chicken,17059.742703477423,,1846.4213875,1
Chicken Paprikash,13477.810147464435,3661.3523278754487,1969.3251135428181,3
Spatchcocked Saffron Chicken,19867.91783108084,,1945.59113714448,1
Spa Chicken,8995.142016170323,,1529.323907244885,1
Grilled Chicken,7231.709483021165,,1104.7859899997334,1
Chicken with Grapefruit,11904.344226657886,,1872.4999999999327,1
Easy chicken pie,7986.287195986442,,1857.6631021568733,1
Nutmeg Chicken,48945.86264817188,,5506.070186232001,1
Creamy Chicken & Leeks,10302.509979999062,,1178.2012043157183,1
Chicken Quesadillas,13087.125775,,1590.0,1
Chicken Lo Mein,5728.110034895777,,815.881258888889,1
Tuscan Chicken,64975.38962402681,,2608.9428906110147,1
Hearty Chicken Noodle Soup,13736.54,,1504.0,1
Chicken Scallopine recipes,8191.691394237329,,1029.8843154606748,1
Caramel Chicken,14342.436992822044,,1807.011487613967,1
Summer Traybake Chicken,11377.506593405393,,1419.4999999988504,1
Mustard Chicken,19148.553363600146,,2108.2806946167225,1
Roasted Lemon Chicken With Pistachios,17386.920668978713,,2112.9559859642386,1
Sticky Lemon Chicken,13756.971396723697,,1855.3968369306845,1
Mexican Chicken,14844.474224205998,,2447.1336693141434,1
Shredded Chicken Gorditas,15180.528557420555,,2325.4315450681443,1
Chicken Galliano,15294.864021309972,,2196.421371941137,1
Barbecue Chicken,16800.357088316665,,1981.4066283333332,1
Chicken Forestiere,4408.076231144678,,727.3586849996037,1
Thai Chicken Salad,5672.877712201343,,724.6920681048924,1
Sesame Chicken,12363.031695818883,,2096.298514469016,1
Chicken Scallopine,20744.610517590303,,2901.052803011725,1
Greek Lemon Chicken Soup,7273.00169324375,,870.349523125,1
The Smith's Chicken-Fried Chicken Skins,7532.415217173276,,1455.729248836438,1
Saucy chicken & vegetables,9824.90265440255,,1345.7103405271716,1
Chicken Tortilla Soup,12014.121637554,,2231.996783875,1
Chicken and Tortellini Soup,19460.936237336897,,1895.5895330649323,1
Skillet Chicken and Rice,9944.733746975004,,1442.5328325000128,1
